--- WORKSHEET: 01_Business_Scenario ---

Field,Value,Value2,Value3
WINAIM Compliance Work Definition Workbook,,,
"Synthetic seed dataset for Compliance Traceability Network (CTN), Knowledge Graph, AI reasoning, and 52-week operational calendar",,,
,,,
SYNTHETIC DATA DISCLAIMER,,,
"All regulatory authorities, regulation names, clause numbers, standard citations, insurance clauses, and vendor details in this workbook are ILLUSTRATIVE AND SYNTHETIC. They are not real regulatory guidance and have not been independently verified. This dataset is a structural seed for compliance workflow, knowledge-graph, and calendar systems only, and must not be used as, or substituted for, verified regulatory research, legal advice, actual insurance policy wording, or a real compliance determination.",,,
,,,
Business Domain,Industrial Parks & Warehouse Chain (3PL / Built-to-Suit Logistics Real Estate),,
Business Scenario,"Multi-country network of Industrial Parks each hosting one or more grade-A warehouses, covering EHS, Fire & Life Safety (FIRe), Facilities Management (FM), Hazard Management, and Waste Management",,
Company,Vantage Industrial Parks & Logistics REIT,,
Network Scale,"20 Industrial Park locations (10 India, 10 UK) hosting 50 warehouses in total",,
Applicable Regulatory Authorities,"BIS, State Fire & Emergency Services Dept (India), Factories & Boilers Inspectorate (India), CPCB/SPCB, PESO, HSE (UK), Local Fire and Rescue Authority (UK), Environment Agency (UK)",,
Applicable Regulations,"National Building Code of India Part 4 (Fire & Life Safety), State Fire NOC Rules, Factories Act 1948, Hazardous Waste Rules 2016, Solid Waste Management Rules 2016, Petroleum/Pressure Vessel Rules, Regulatory Reform (Fire Safety) Order 2005, Building Regulations 2010 Approved Document B, Health and Safety at Work etc. Act 1974, COMAH Regulations 2015, Environmental Permitting Regulations 2016",,
Applicable Standards,"ISO 45001:2018, ISO 14001:2015, ISO 41001:2018, ISO 31000:2018, ISO 22301:2019, ISO 9001:2015, NFPA 25, NFPA 72, BS 9999:2017, IS 3844 / SP 7 (NBC)",,
Business Units,"EHS, Facilities Management, Compliance, Risk & Insurance, Warehouse Operations, Security",,
Organization Structure,Company -> Business Unit -> Department -> Role,,
Spatial Hierarchy,Company -> Site (Industrial Park) -> Building (Warehouse) -> Floor -> Zone -> Room -> Process -> Asset -> Equipment,,
Compliance Pillars,"EHS, Fire & Life Safety (FIRe), Facilities Management (FM), Hazard Management, Waste Management, plus Insurance Risk Mitigation as a cross-cutting pillar",,
Compliance Areas,Fire Detection & Alarm Systems; Fire Suppression Systems; Emergency Preparedness & Response; Occupational Health & Safety (EHS); Hazardous Materials & Chemical Safety; Waste Management; Facilities & Asset Maintenance (FM); Environmental Compliance; Hazard & Risk Assessment; Insurance Compliance & Risk Mitigation,,
Regulatory Scope Note,"Building/fire safety codes scoped to India (NBC Part 4, State Fire NOC, IS 3844) and UK (RRFSO 2005, Building Regs Approved Doc B, BS 9999); ISO management-system standards applied network-wide; fire suppression assets tracked with SLA/checks/SOP/vendor (AMC) linkage; emergency response and insurance risk-mitigation clauses/premium stipulations tracked as first-class compliance domains.",,
Operational Controls (count),30,,
Output Scale - Tasks,60,,
Output Scale - Controls,30,,
Output Scale - Compliance Areas,10,,
Output Scale - Business Units,6,,
Output Scale - Sites (Industrial Parks),20,,
Output Scale - Buildings (Warehouses),50,,
Output Scale - Roles,16,,
Output Scale - Vendors (AMC/Service),12,,
Output Scale - Insurance Risk Clauses,15,,
Calendar Duration,52 weeks,,
Generated On,2026-07-16,,
,,,
Data Volume Calibration (ratios applied),,,
Entity,Default Ratio to Controls,Generated Count,Notes
Obligations,~1.1 per Control,34,A control may satisfy more than one obligation; 4 obligations are general/contextual
Clauses,1.0 per Obligation,34,One primary clause per obligation
Tasks,2 per Control,60,Two frequency variants generated per control
Checklists / Templates,2 per Compliance Area,20,"One primary + one specific checklist per compliance area, reused across tasks"
Roles,"~50% of Compliance Areas x 1.6, min 8",16,Roles are shared across tasks and sites
Sites x Buildings x Assets,20 sites / 50 warehouses / 31 asset types,20 sites / 50 buildings / 31 assets,Each task resolves to >=1 concrete Site/Building/Asset pair
Vendors,Illustrative AMC/service coverage,12,One vendor entry may cover multiple sites/countries
Insurance Risk Clauses,Illustrative warranty/clause set,15,Each linked to a Risk and a Control for premium-impact traceability


--- WORKSHEET: 02_Regulatory_Authorities ---

AuthorityID,Name,Abbreviation,Jurisdiction,Type,Description
OBL-0028,CLA-0028,Verify conformance with insurer risk-engineering warranty clauses ahead of policy renewal,Mandatory,Y
OBL-0029,CLA-0029,Track Fire NOC and statutory certificate validity and initiate timely renewal,Mandatory,Y
OBL-0030,CLA-0030,Track and close out risk engineering survey recommendations within committed timelines,Mandatory,Y
OBL-0031,CLA-0031,Establish and maintain documented procedure to satisfy understanding of organizational context for OH&S,Mandatory,Y
OBL-0032,CLA-0032,Establish and maintain documented procedure to satisfy understanding of organizational context for environmental aspects,Mandatory,Y
OBL-0033,CLA-0033,Ensure general duty of care towards employee and visitor safety across site operations,Mandatory,Y
OBL-0034,CLA-0034,Verify means of escape routes and fire compartmentation remain unobstructed and conformant,Mandatory,Y


--- WORKSHEET: 07_Compliance_Areas ---

ComplianceAreaID,Name,Description
CA-001,Fire Detection & Alarm Systems,"Smoke/heat detection, fire alarm panels, and voice evacuation systems across warehouses."
CA-002,Fire Suppression Systems,"Hydrants, sprinklers/ESFR, fire pump houses, and portable fire extinguishers."
CA-003,Emergency Preparedness & Response,"Evacuation drills, emergency response team readiness, and mutual-aid coordination."
CA-004,Occupational Health & Safety (EHS),"Machinery, MHE/forklift, PPE, and general workplace safety controls."
CA-005,Hazardous Materials & Chemical Safety,"Storage, handling, and permit compliance for flammable and hazardous substances."
CA-006,Waste Management,"Segregation, storage, and licensed disposal of general and hazardous waste."
CA-007,Facilities & Asset Maintenance (FM),"Preventive maintenance of MEP, racking, MHE, and utility assets."
CA-008,Environmental Compliance,"Effluent, emissions, and environmental permit conformance."
CA-009,Hazard & Risk Assessment,"Structured hazard identification, risk register review, and audit closure."
CA-010,Insurance Compliance & Risk Mitigation,Conformance with insurer warranty clauses and risk-engineering recommendations affecting premiums.


--- WORKSHEET: 08_Operational_Controls ---

ControlID,Name,ComplianceAreaID,Control Type,Description,RiskID,Primary ObligationID(s),ClauseID,StandardID,RegulationID,AuthorityID
CTRL-001,Smoke & Heat Detector Functional Test,CA-001,Detective,Operational control ensuring smoke & heat detector functional test is performed and evidenced per SOP across the industrial park / warehouse network.,RSK-007,OBL-0001,CLA-0001,STD-008,REG-001,AUTH-002
CTRL-002,Fire Alarm Panel & Zone Verification,CA-001,Preventive,Operational control ensuring fire alarm panel & zone verification is performed and evidenced per SOP across the industrial park / warehouse network.,RSK-007,OBL-0002,CLA-0002,STD-008,REG-008,AUTH-007
CTRL-003,PA / Voice Evacuation System Test,CA-001,Preventive,Operational control ensuring pa / voice evacuation system test is performed and evidenced per SOP across the industrial park / warehouse network.,RSK-009,OBL-0003,CLA-0003,STD-008,REG-007,AUTH-007
CTRL-004,Fire Hydrant System Pressure Test,CA-002,Preventive,Operational control ensuring fire hydrant system pressure test is performed and evidenced per SOP across the industrial park / warehouse network.,RSK-013,OBL-0004,CLA-0004,STD-010,REG-002,AUTH-002
CTRL-005,Sprinkler Riser & ESFR Head Inspection,CA-002,Preventive,Operational control ensuring sprinkler riser & esfr head inspection is performed and evidenced per SOP across the industrial park / warehouse network.,RSK-002,OBL-0005,CLA-0005,STD-007,REG-001,AUTH-002
CTRL-006,Fire Extinguisher Inspection & Recharge Check,CA-002,Preventive,Operational control ensuring fire extinguisher inspection & recharge check is performed and evidenced per SOP across the industrial park / warehouse network.,RSK-001,OBL-0006,CLA-0006,STD-007,REG-002,AUTH-002
CTRL-007,Fire Pump House Operational Test,CA-002,Preventive,Operational control ensuring fire pump house operational test is performed and evidenced per SOP across the industrial park / warehouse network.,RSK-013,OBL-0007,CLA-0007,STD-007,REG-008,AUTH-007
CTRL-008,Fire & Emergency Evacuation Drill,CA-003,Preventive,Operational control ensuring fire & emergency evacuation drill is performed and evidenced per SOP across the industrial park / warehouse network.,RSK-009,OBL-0008,CLA-0008,STD-005,REG-001,AUTH-002
CTRL-009,Emergency Response Team Readiness Check,CA-003,Preventive,Operational control ensuring emergency response team readiness check is performed and evidenced per SOP across the industrial park / warehouse network.,RSK-009,OBL-0009,CLA-0009,STD-005,REG-009,AUTH-006
CTRL-010,Mock Drill - Mutual Aid & External Agency Coordination,CA-003,Detective,Operational control ensuring mock drill - mutual aid & external agency coordination is performed and evidenced per SOP across the industrial park / warehouse network.,RSK-009,OBL-0010,CLA-0010,STD-005,REG-007,AUTH-007
CTRL-011,PPE Compliance Inspection,CA-004,Preventive,Operational control ensuring ppe compliance inspection is performed and evidenced per SOP across the industrial park / warehouse network.,RSK-004,OBL-0011,CLA-0011,STD-001,REG-003,AUTH-003
CTRL-012,MHE / Forklift Safety Inspection,CA-004,Preventive,Operational control ensuring mhe / forklift safety inspection is performed and evidenced per SOP across the industrial park / warehouse network.,RSK-004,OBL-0012,CLA-0012,STD-001,REG-009,AUTH-006
CTRL-013,Permit-to-Work & Hot Work Compliance Check,CA-004,Preventive,Operational control ensuring permit-to-work & hot work compliance check is performed and evidenced per SOP across the industrial park / warehouse network.,RSK-007,OBL-0013,CLA-0013,STD-001,REG-003,AUTH-003
CTRL-014,Hazardous Chemical Storage Compliance Check,CA-005,Preventive,Operational control ensuring hazardous chemical storage compliance check is performed and evidenced per SOP across the industrial park / warehouse network.,RSK-006,OBL-0014,CLA-0014,STD-002,REG-006,AUTH-005
CTRL-015,Battery Charging Area Safety Inspection,CA-005,Preventive,Operational control ensuring battery charging area safety inspection is performed and evidenced per SOP across the industrial park / warehouse network.,RSK-005,OBL-0015,CLA-0015,STD-004,REG-010,AUTH-006
CTRL-016,Spill Kit & Chemical Spill Response Readiness Check,CA-005,Detective,Operational control ensuring spill kit & chemical spill response readiness check is performed and evidenced per SOP across the industrial park / warehouse network.,RSK-006,OBL-0016,CLA-0016,STD-001,REG-006,AUTH-005
CTRL-017,Waste Segregation & Storage Verification,CA-006,Preventive,Operational control ensuring waste segregation & storage verification is performed and evidenced per SOP across the industrial park / warehouse network.,RSK-010,OBL-0017,CLA-0017,STD-002,REG-005,AUTH-004
